Year,0
1997,1
1998,1
1999,3
2000,8
2002,2
2003,1
2008,20
2010,24
2011,786
2012,1632
2013,4468
2014,3560
2015,4873
2016,5581
2017,8597
2018,14284
2019,10805
2020,11555
2021,18834
2022,27623
2023,47912
2024,2433
